nice_name,question_text,bsa_name,bsa_env_trends,include,is_ordinal,domain,env_var_type,issp_topic,environment_label,economics,actor_detail,valid_range,reverse,name_1993,name_2000,name_2010,name_2020,comments,exclusion_reason,is_climate_change,is_gen_env,indicates_recpt,new_class_comments,original_order,expression_2cat
harmenvir,Almost everything we do in modern life harms the environment,harmenvir,FALSE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,environment,none,people,01:05,TRUE,V14,V12,v24,v22,,Not clearly indicating environmental position,FALSE,TRUE,FALSE,"Unsure if this really indicates receptiveness to government climate action. Asbolutist claims, clarity of the question - some thing we do in modern life might be more protective of the environment than things done in the past.",11,
animrght,Animals should have the same moral rights that human beings do,animrght,FALSE,NA,TRUE,environment,belief,,animals,none,none,01:05,TRUE,V15,,,,Question not repeated - no issp topic,,NA,NA,NA,,12,
natresp,Human beings should respect nature because it was created by God,natresp,FALSE,NA,TRUE,environment,belief,,nature,none,people,01:05,FALSE,V16,,,,,Not clearly indicating environmental position,NA,NA,NA,,13,
harmvirw,People worry too much about human progress harming the environment,harmvirw,TRUE,TRUE,TRUE,environment,concern,Attitudes towards Science and Nature,environment,none,people,01:05,FALSE,V17,V13,v25,v23,,,FALSE,TRUE,TRUE,,14,cognitive_affective
natalone,Nature would be at peace and in harmony if only human beings would leave it alone,natalone,FALSE,NA,TRUE,environment,belief,,nature,none,people,01:05,FALSE,V18,,,,Question not repeated - no issp topic,Not clearly indicating environmental position. ,NA,NA,NA,,15,
envirecg,In order to protect the environment [Country] needs economic growth,envirecg,FALSE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,environment,economic growth,none,01:05,FALSE,V19,V14,v26,v24,,Not clearly indicating environmental position,FALSE,TRUE,FALSE,,16,
medtest2,It is right to use animals for medical testing if it might save human lives,medtest2,FALSE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,animals,none,none,01:05,FALSE,V20,V15,,,,,FALSE,FALSE,FALSE,,17,
natstrug,Nature is really a fierce struggle for survival of the fittest,natstrug,FALSE,NA,TRUE,environment,belief,,nature,none,none,01:05,FALSE,V21,,,,,Not clearly indicating environmental position,NA,NA,NA,,18,
growharm,Economic growth always harms the environment,growharm,TRUE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,environment,economic growth,none,01:05,TRUE,V22,V16,v27,v25,,,FALSE,TRUE,FALSE,Unsure if this really indicates receptiveness to government climate action. Levels of disagreement - strength of disagreement might indicate intolerance of absolutist statements rather than decreasing receptiveness to climate action.,19,
natview,"Please tick one box to show which statement is closest to your views. [1] Nature is sacred because it is created by God, [2] Nature is spiritual or sacred in itself, [3] Nature is important, but not spiritual or sacred",natview,FALSE,FALSE,FALSE,environment,belief,Attitudes towards Science and Nature,nature,none,none,01:03,FALSE,V23,V18,,,,,FALSE,TRUE,FALSE,,20,
prenvir,How willing would you be to pay much higher prices in order to protect the environment?,prenvir,TRUE,TRUE,TRUE,environment,behaviour,Willingness to make trade-offs for environment,environment,prices,respondent,01:05,TRUE,V24,V19,v29,v26,Could be coded as a policy,,FALSE,TRUE,TRUE,,21,conative
taxenvir,And how willing would you be to pay much higher taxes in order to protect the environment?,taxenvir,TRUE,TRUE,TRUE,environment,policy,Willingness to make trade-offs for environment,environment,taxes,respondent,01:05,TRUE,V25,V20,v30,v27,Could be coded as behaviour,,FALSE,TRUE,TRUE,,22,conative
cutenvir,And how willing would you be to accept cuts in your standard of living in order to protect the environment?,cutenvir,TRUE,TRUE,TRUE,environment,policy,Willingness to make trade-offs for environment,environment,standard of living,respondent,01:05,TRUE,V26,V21,v31,v28,Could be coded as behaviour,,FALSE,TRUE,TRUE,,23,conative
envirdif,It is just too difficult for someone like me to do much about the environment,envirdif,TRUE,FALSE,TRUE,environment,behaviour,Environmental Efficacy,environment,none,respondent,01:05,FALSE,V27,V22,v32,v30,Could be coded as belief,,FALSE,TRUE,FALSE,,24,
envirrgt,"I do what is right for the environment, even when it costs more money or takes more time",envirrgt,TRUE,TRUE,TRUE,environment,behaviour,Environmental Efficacy,environment,costs money,respondent,01:05,TRUE,V28,V23,v33,v31,,,FALSE,TRUE,TRUE,,25,conative
radioact,All radioactivity is made by humans,radioact,FALSE,NA,TRUE,environment,belief,,radioactivity,none,people,01:04,FALSE,V29,,,,Question not repeated - no issp topic,Not clearly indicating environmental position. ,NA,NA,NA,,26,
chemeat,All man-made chemicals can cause cancer if you eat enough of them.,chemeat,FALSE,FALSE,TRUE,environment,belief,Scientific and Environmental Knowledge,,none,none,01:04,TRUE,V33,V29,,,"issp 2000 contains additional response category for RCH respondents: 5 = true, which is the mid-point in the Chile survey quetsion",,FALSE,FALSE,FALSE,,27,
radiodie,If someone is exposed to any amount of radioactivity they are certain to die as a result,radiodie,FALSE,FALSE,TRUE,environment,belief,Scientific and Environmental Knowledge,radioactivity,none,none,01:04,TRUE,V34,V30,,,"issp 2000 contains additional response category for RCH respondents: 5 = true, which is the mid-point in the Chile survey quetsion",,FALSE,FALSE,FALSE,,28,
radionuc,Some radioactive waste from nuclear power stations will be dangerous for thousands of years,radionuc,FALSE,NA,TRUE,environment,belief,,radioactivity,none,none,01:04,FALSE,V35,,,,Question not repeated - no issp topic,,NA,NA,NA,,29,
grhseff,The greenhouse effect/climate change is caused by a hole in the earth's atmosphere,grhseff/ccathole,FALSE,FALSE,TRUE,environment,belief,Scientific and Environmental Knowledge,climate change,none,none,01:04,TRUE,V36,V31,v65,,"issp 2000 contains additional response category for RCH respondents: 5 = true, which is the mid-point in the Chile survey quetsion","I've set to include, assuming that belief in the greenhouse effect implies belief in anthropogenic climate change",FALSE,TRUE,FALSE,,30,
grhseff1,"Every time we use coal or oil or gas, we contribute to the greenhouse effect/climate change",grhseff1/ccfossil,FALSE,TRUE,TRUE,environment,belief,Scientific and Environmental Knowledge,climate change,none,people,01:04,TRUE,V37,V32,v66,,"Combining grehseff1 (greenhouse effect) in issp 1993 and 2000 with ccfossil(climate change) in issp 2010. ISSP 2000 contains additional response category for RCH respondents: 5 = true, which is the mid-point in the Chile survey quetsion",,TRUE,FALSE,TRUE,,31,cognitive_affective
chemcanc,All pesticides and chemicals used on food crops cause cancer in humans,chemcanc,FALSE,NA,TRUE,environment,belief,,pesticides,none,none,01:04,TRUE,V38,,,,Question not repeated - no issp topic,Set to exclude because environmental yet scientifically informed respondents might disagree with anti-pesticide arguments,NA,NA,NA,,32,
specdie,Human beings are the main cause of plant and animal species dying out,specdie,FALSE,NA,TRUE,environment,belief,,animals,none,people,01:04,FALSE,V39,,,,Question not repeated - no issp topic,Set to exclude because responses could reflect belief in human impacts or scientific beliefs in natural selection,NA,NA,NA,,33,
carspoll,Cars are not really an important cause of air pollution in [Country],carspoll,FALSE,NA,TRUE,environment,belief,,pollution,none,none,01:04,FALSE,V40,,,,Question not repeated - no issp topic,,NA,NA,NA,,34,
carspol1,"In general, do you think that air pollution caused by cars is extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment?",carspol1,TRUE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,pollution,none,none,01:05,TRUE,V41,V33,v39,v37,,,FALSE,FALSE,TRUE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,35,
carspol2,"And do you think that air pollution caused by cars is extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",carspol2,TRUE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,pollution,none,none,01:05,TRUE,V42,V34,,,,,FALSE,FALSE,TRUE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,36,
carspol3,"Within the next ten years, how likely do you think it is that there will be a large increase in ill-health in [Country's] cities as a result of air pollution caused by cars?",carspol3,FALSE,NA,TRUE,environment,concern,,pollution,none,none,01:05,TRUE,V43,,,,Question not repeated - no issp topic,Set to include but responses might be influenced by knowledge level,NA,NA,NA,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,37,
nucpow1,"In general, do you think that nuclear power stations are extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment?",nucpow1,FALSE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,radioactivity,none,none,01:05,FALSE,V44,V64,v45,v43,"issp 2000 contains additional response category, with 0 = not available. Question starts with And… rather than In general… in issp 2010 and 2020",Set to exclude because environmental arguments for and against nuclear power,FALSE,FALSE,FALSE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,38,
nucpow2,"And do you think that nuclear power stations are extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",nucpow2,FALSE,NA,TRUE,environment,concern,,radioactivity,none,none,01:05,FALSE,V45,,,,Question not repeated - no issp topic,Set to exclude because environmental arguments for and against nuclear power,NA,NA,NA,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,39,
indpol1,"In general, do you think that air pollution caused by industry is extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment?",indpol1,TRUE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,pollution,none,industry,01:05,TRUE,V46,V35,v40,v38,,,FALSE,FALSE,TRUE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,40,
indpol2,"And do you think that air pollution caused by industry is extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",indpol2,FALSE,NA,TRUE,environment,concern,,pollution,none,industry,01:05,TRUE,V47,,,,Question not repeated - no issp topic,,NA,NA,NA,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,41,
pestche1,"In general, do you think that pesticides and chemicals used in farming are extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment?",pestche1,TRUE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,pesticides,none,none,01:05,TRUE,V48,V36,v41,v39,Question starts with And… rather than In general… in issp 2010 and 2020,,FALSE,FALSE,FALSE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,42,
pestche2,"And do you think that pesticides and chemicals used in farming are extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",pestche2,FALSE,NA,TRUE,environment,concern,,pesticides,none,none,01:05,TRUE,V49,,,,Question not repeated - no issp topic,,NA,NA,NA,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,43,
watrpol1,"In general, do you think that pollution of [Country's] rivers, lakes and streams is extremely dangerous for the environment, very dangerous, somewhat dangerous, or not very dangerous, not dangerous at all for the environment?",watrpol1,TRUE,FALSE,TRUE,environment,concern,Dangers of Specific Environmental Problems,pollution,none,none,01:05,TRUE,V50,V37,v42,v40,"Question starts with And… rather than In general… in issp 2000, 2010 and 2020",,FALSE,FALSE,FALSE,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,44,
watrpol2,"And do you think that pollution of [Country's] rivers, lakes and streams is extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",watrpol2,FALSE,NA,TRUE,environment,concern,,pollution,none,none,01:05,TRUE,V51,,,,Question not repeated - no issp topic,,NA,NA,NA,This question asks about a specific environmental issues (although it also asks how much the specific relates to the environment in general) - so we classify as not about the environment in general.,45,
grhseff2,"In general, do you think that a rise in the world's temperature caused by the 'greenhouse effect'/climate change is extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment?",grhseff2/grhseff4,TRUE,TRUE,TRUE,environment,belief,Dangers of Specific Environmental Problems,climate change,none,none,01:05,TRUE,V52,V38,v43,v41,Combining grhseff2 (greenhouse effect) in issp 1993 and 2000 with grhseff4 (climate change) in issp 2010 and 2020. Could be coded as concern,,TRUE,FALSE,TRUE,,46,cognitive_affective
grhseff3,"And do you think that a rise in the world's temperature caused by the 'greenhouse effect' is extremely dangerous for you and your family, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for you and your family?",grhseff3,FALSE,NA,TRUE,environment,belief,,climate change,none,none,01:05,TRUE,V53,,,,Could be coded as concern. Question not repeated - no issp topic,,NA,NA,NA,,47,
protenvp,"If you had to choose, which one of the following would be closest to your views? Government should let ordinary people decide for themselves how to protect the environment, even if it means they don't always do the right thing. or Government should pass laws to make ordinary people protect the environment, even if it interferes with people's rights to make their own decisions",protenvp,TRUE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,government,01:02,FALSE,V54,V40,v46,,,,FALSE,TRUE,TRUE,,48,conative
protenvb,"And which one of the following would be closest to your views? Government should let business decide for themselves how to protect the environment, even if it means they don't always do the right thing. or Government should pass laws to make business protect the environment, even if it interferes with business rights to make their own decisions",protenvb,TRUE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,government,01:02,FALSE,V55,V41,v47,,,,FALSE,TRUE,TRUE,,49,conative
recycle,How often do you make a special effort to sort glass or tins or plastic or newspapers and so on for recycling?,recycle,TRUE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,recycling,none,respondent,01:04,TRUE,V56,V56,v55,v52,,,FALSE,FALSE,FALSE,Measures self-reported behaviour rather than a general environmental attitude,50,
organveg,And how often do you make a special effort to buy fruits and vegetables grown without pesticides or chemicals?,organveg,FALSE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,pesticides,none,respondent,01:04,TRUE,V57,,v56,,,,FALSE,FALSE,FALSE,Measures self-reported behaviour rather than a general environmental attitude,51,
nomeat,And how often do you refuse to eat meat for moral or environmental reasons?,nomeat,FALSE,NA,TRUE,environment,behaviour,,environment,none,respondent,01:04,TRUE,V58,,,,Question not repeated - no issp topic,,NA,NA,NA,Measures self-reported behaviour rather than a general environmental attitude,52,
lessdriv,And how often do you cut back on driving a car for environmental reasons?,lessdriv,FALSE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,environment,none,respondent,01:04,TRUE,V59,V57,v57,,,,FALSE,FALSE,TRUE,Measures self-reported behaviour rather than a general environmental attitude,53,
membenv,Are you a member of any group whose main aim is to preserve or protect the environment?,membenv,TRUE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,environment,none,respondent,01:02,TRUE,V60,V58,v61,v54,,,FALSE,FALSE,TRUE,Measures self-reported behaviour rather than a general environmental attitude,54,
petitenv,"In the last five years, have you signed a petition about an environmental issue?",petitenv,TRUE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,environment,none,respondent,01:02,TRUE,V61,V59,v62,v55,issp 2010 has different question wording in South Korea - active support,,FALSE,FALSE,TRUE,Measures self-reported behaviour rather than a general environmental attitude,55,
moneyenv,"In the last five years, have you given money to an environmental group?",moneyenv,TRUE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,environment,none,respondent,01:02,TRUE,V62,V60,v63,v56,issp 2010 has different question wording in South Korea - active support,,FALSE,FALSE,TRUE,Measures self-reported behaviour rather than a general environmental attitude,56,
demoenv,"In the last five years, have you taken part in a protest or demonstration about an environmental issue?",demoenv,TRUE,FALSE,TRUE,environment,behaviour,Respondent's Behaviour and Environmental Protection,environment,none,respondent,01:02,TRUE,V63,V61,v64,v57,issp 2010 has different question wording in South Korea - active support,,FALSE,FALSE,TRUE,Measures self-reported behaviour rather than a general environmental attitude,57,
godbelf1,"Please tick one box below to show which statement comes closest to expressing what you believe about God. I don't believe in God. I don't know whether there is a God and I don't believe there is any way to find out. I don't believe in a personal God, but I do believe in a Higher Power of some kind. I find myself believing in God some of the time- but not at others. While I have doubts, I feel that I do believe in God. I know God really exists and I have no doubts about it",godbelf1,NA,NA,TRUE,culture,,Religiosity,,,,01:06,TRUE,V64,V62,,,,,NA,NA,NA,,58,
risetemp,"Within the next twenty years or so, a rise in the world's temperature caused by the 'greenhouse effect' will be one of the most serious problems for [Country]",risetemp,FALSE,NA,TRUE,environment,belief,,climate change,none,none,01:04,TRUE,V72,,,,Question not repeated - no issp topic,,NA,NA,NA,,59,
savener1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people to use less energy",savener1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V73,,,,Question not repeated - no issp topic,,NA,NA,NA,,60,
savener2,"For the sake of the environment, [Country's] government should put up energy taxes each year for the next ten years to get people to use less energy",savener2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V74,,,,Question not repeated - no issp topic,,NA,NA,NA,,61,
savener3,"For the sake of the environment, [Country's] government should spend public money on grants to help all households put in better home insulation in order to save energy",savener3,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V75,,,,Question not repeated - no issp topic,,NA,NA,NA,,62,
savener4,"For the sake of the environment, [Country's] government should restrict or ration the amount of energy that each household is allowed to use to make people use less energy",savener4,FALSE,NA,TRUE,environment,policy,,environment,ration,government,01:05,TRUE,V76,,,,Question not repeated - no issp topic,,NA,NA,NA,,63,
reddrive,"Compared with most people, how much effort would you say you make to cut back on driving, for the sake of the environment?",reddrive,FALSE,NA,TRUE,environment,behaviour,,environment,none,respondent,01:05,TRUE,V86,,,,Question not repeated - no issp topic,,NA,NA,NA,,64,
trafnois,"Within the next twenty years or so, traffic noise will be one of the most serious problems for [Country]",trafnois,FALSE,NA,TRUE,environment,concern,,pollution,none,none,01:04,TRUE,V87,,,,Question not repeated - no issp topic,,NA,NA,NA,,65,
drivpol1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people to cut back on driving",drivpol1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V88,,,,Question not repeated - no issp topic,,NA,NA,NA,,66,
drivpol2,"For the sake of the environment, [Country's] government should put up taxes on petrol each year for the next ten years to get people to cut back on driving",drivpol2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V89,,,,Question not repeated - no issp topic,,NA,NA,NA,,67,
drivpol3,"For the sake of the environment, [Country's] government should put a special environment tax on private cars and use the money to improve public transport",drivpol3,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V90,,,,Question not repeated - no issp topic,,NA,NA,NA,,68,
drivpol4,"For the sake of the environment, [Country's] government should restrict or ration the amount of petrol or diesel that people are allowed to buy to make them cut back on driving",drivpol4,FALSE,NA,TRUE,environment,policy,,environment,ration,government,01:05,TRUE,V91,,,,Question not repeated - no issp topic,,NA,NA,NA,,69,
attwrap,"When you are shopping, how often do you pay attention to the amount of wrapping or packaging used on products before you decide to buy something?",attwrap,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V92,,,,Question not repeated - no issp topic,,NA,NA,NA,,70,
attwrap1,"In the last month or so, did you actually not buy something because you felt it used too much packaging or wrapping?",attwrap1,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:02,TRUE,V93,,,,Question not repeated - no issp topic,,NA,NA,NA,,71,
wastepro,"Within the next twenty years or so, finding official sites to dump or burn household waste will be one of the most serious problems for [Country]",wastepro,FALSE,NA,TRUE,environment,concern,,none,none,none,01:04,TRUE,V95,,,,Question not repeated - no issp topic,,NA,NA,NA,,72,
wastpol1,"For the sake of the environment, the [Country's] government should spend public money on campaigns to persuade people to produce less household waste",wastpol1,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V96,,,,Question not repeated - no issp topic,,NA,NA,NA,,73,
wastpol2,"For the sake of the environment, the [Country's] government should make each household pay for its rubbish collection according to the amount of rubbish it leaves out, to get people to produce less household waste",wastpol2,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V97,,,,Question not repeated - no issp topic,,NA,NA,NA,,74,
wastpol3,"For the sake of the environment, the [Country's] government should control the amount and type of packaging on products, even products, even if it leads to higher prices or less convenience for the customer",wastpol3,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V98,,,,Question not repeated - no issp topic,,NA,NA,NA,,75,
labelatt,"When you are choosing a product, how often do you pay attention to any environmental labelling before deciding to buy?",labelatt,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V99,,,,Question not repeated - no issp topic,,NA,NA,NA,,76,
labeltru,"And if you look at environmental labelling on products, how often do you trust it?",labeltru,FALSE,NA,TRUE,environment,behaviour,,none,none,respondent,01:04,TRUE,V100,,,,Question not repeated - no issp topic,Not clearly indicating environmental position,NA,NA,NA,,77,
envpol1,"For the sake of the environment, [Country's] government should spend public money on campaigns to persuade people not to harm the environment",envpol1,FALSE,NA,TRUE,environment,policy,,environment,public money,government,01:05,TRUE,V101,,,,Question not repeated - no issp topic,,NA,NA,NA,,78,
envpol2,"For the sake of the environment, [Country's] government should put up taxes on things which harm the environment each year for the next ten years, to get people not to buy or use them",envpol2,FALSE,NA,TRUE,environment,policy,,environment,taxes,government,01:05,TRUE,V102,,,,Question not repeated - no issp topic,,NA,NA,NA,,79,
envpol3,"For the sake of the environment, [Country's] government should pass strict environmental laws in order to stop people causing harm to the environment",envpol3,FALSE,NA,TRUE,environment,policy,,environment,none,government,01:05,TRUE,V103,,,,Question not repeated - no issp topic,,NA,NA,NA,,80,
efforten,"Thinking now of all the possible things that people can do: compared with most people, how much effort would you say you make, in general, to do what is right for the environment?",efforten,FALSE,NA,TRUE,environment,behaviour,,environment,none,respondent,01:05,TRUE,V104,,,,Question not repeated - no issp topic,,NA,NA,NA,,81,
tupower,Do you think that trade unions in [Country] have too much power or too little power?,tupower,NA,NA,TRUE,economic,,,,,,01:05,FALSE,V108,,,,Question not repeated - no issp topic,,NA,NA,NA,,82,
tugood,"In general, how good would you say trade unions are for the country as a whole?",,NA,NA,TRUE,economic,,,,,,01:05,TRUE,V109,,,,Question not repeated - no issp topic. Not in BSA,,NA,NA,NA,,83,
popgrow,The earth simply cannot continue to support population growth at its present rate,popgrow,TRUE,FALSE,TRUE,environment,belief,Attitudes towards Science and Nature,earth,none,none,01:05,TRUE,,V17,v28,,,Set to exclude due to scientific accuracy of the statement,FALSE,FALSE,FALSE,,84,
morimpen,There are more important things to do in life than protect the environment,morimpen,FALSE,TRUE,TRUE,environment,belief,Environmental Efficacy,environment,none,none,01:05,FALSE,,V24,v34,v32,,,FALSE,TRUE,TRUE,,85,conative
noptenv,There is no point in doing what I can for the environment unless others do the same,noptenv,FALSE,FALSE,TRUE,environment,belief,Environmental Efficacy,environment,none,respondent,01:05,FALSE,,V25,v35,v33,,,FALSE,TRUE,FALSE,,86,
exagenv,Many of the claims about environment threats are exaggerated,exagenv,FALSE,TRUE,TRUE,environment,belief,Environmental Efficacy,environment,none,none,01:05,FALSE,,V26,v36,v34,,,FALSE,TRUE,TRUE,,87,cognitive_affective
gmcrops,"And do you think that modifying the genes of certain crops is extremely dangerous for the environment, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all for the environment",gmcrops,FALSE,FALSE,TRUE,environment,belief,Dangers of Specific Environmental Problems,none,none,none,01:05,FALSE,,V39,v44,v42,,Set to exclude because pro-GM is not necessarily anti-environment,FALSE,FALSE,FALSE,,88,
ctryefen,"Some countries are doing more to protect the world environment than other countries are. In general, do you think that [Country] is doing more than enough, about the right amount, or too little?",ctryefen,FALSE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V42,v48,,,,FALSE,TRUE,TRUE,Initial statement seems to put things in relative terms compared to other countries. ,89,conative
enveff1,"On balance, which of these two do you think is making more effort to look after the environment ... business and industry, people in general, or both equally?",enveff1,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V43,,,,Not clearly indicating environmental position,NA,NA,NA,,90,
enveff2,"And which of these two groups do you think is making more effort to look after the environment ... government, business and industry, or both equally?",enveff2,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V44,,,,Not clearly indicating environmental position,NA,NA,NA,,91,
enveff3,"And which of these two groups do you think is making more effort to look after the environment ... people in general, government, or both equally?",enveff3,FALSE,NA,FALSE,environment,,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:03,FALSE,,V45,,,,Not clearly indicating environmental position,NA,NA,NA,,92,
intagenv,"For environmental problems, there should be international agreements that [Country] and other countries should be made to follow",intagenv,FALSE,TRUE,TRUE,environment,policy,"Environmental Protection, Locus of Control, and Effort",environment,none,none,01:05,TRUE,,V46,v52,,,,FALSE,TRUE,TRUE,,93,conative
